Year,Trade Value in 1000 USD,PartnerISO3,Sum of Trade Value in 1000 USD
2001,154359.223,PRT,154359.223
2001,232684.699,ESP,232684.699
2001,279417.59,DEU,279417.59
2001,537663.759,CHN,537663.759
2001,590705.674,NLD,590705.674
2002,164609.343,PRT,164609.343
2002,223586.719,ESP,223586.719
2002,307517.289,DEU,307517.289
2002,543968.708,NLD,543968.708
2002,823446.123,CHN,823446.123
2003,165066.287,ITA,165066.287
2003,334061.389,ESP,334061.389
2003,493473.175,DEU,493473.175
2003,766070.116,NLD,766070.116
2003,1313073.236,CHN,1313073.236
2004,240282.645,ITA,240282.645
2004,418310.463,ESP,418310.463
2004,498238.872,DEU,498238.872
2004,952308.657,NLD,952308.657
2004,1621735.722,CHN,1621735.722
2005,224313.964,DEU,224313.964
2005,319738.483,ITA,319738.483
2005,481285.925,ESP,481285.925
2005,1199631.812,NLD,1199631.812
2005,1710492.943,CHN,1710492.943
2006,240880.81,ITA,240880.81
2006,242608.417,DEU,242608.417
2006,428357.415,ESP,428357.415
2006,853988.507,NLD,853988.507
2006,2428650.146,CHN,2428650.146
2007,278934.422,THA,278934.422
2007,331861.321,ITA,331861.321
2007,659924.669,ESP,659924.669
2007,932284.311,NLD,932284.311
2007,2831860.767,CHN,2831860.767
2008,477469.365,ITA,477469.365
2008,536432.021,THA,536432.021
2008,1030892.422,NLD,1030892.422
2008,1161601.262,ESP,1161601.262
2008,5324052.177,CHN,5324052.177
2009,362578.912,THA,362578.912
2009,453783.308,DEU,453783.308
2009,791891.231,ESP,791891.231
2009,974309.547,NLD,974309.547
2009,6342964.92,CHN,6342964.92
2010,281721.231,PRT,281721.231
2010,444871.645,THA,444871.645
2010,550551.009,NLD,550551.009
2010,740226.554,ESP,740226.554
2010,7133440.544,CHN,7133440.544
2011,482284.178,OAS,482284.178
2011,577797.304,THA,577797.304
2011,710252.071,NLD,710252.071
2011,1192918.326,ESP,1192918.326
2011,10951902.03,CHN,10951902.03
2012,550153.516,NLD,550153.516
2012,598155.283,THA,598155.283
2012,607590.436,OAS,607590.436
2012,1130223.512,ESP,1130223.512
2012,12028317.83,CHN,12028317.83
2013,525551.14,OAS,525551.14
2013,589168.734,THA,589168.734
2013,829561.199,NLD,829561.199
2013,1058680.239,ESP,1058680.239
2013,17147972.47,CHN,17147972.47
2014,538145.564,USA,538145.564
2014,626409.931,THA,626409.931
2014,1013057.281,NLD,1013057.281
2014,1072905.253,ESP,1072905.253
2014,16615159.62,CHN,16615159.62
2015,376106.269,OAS,376106.269
2015,580865.886,NLD,580865.886
2015,672557.837,THA,672557.837
2015,909472.45,ESP,909472.45
2015,15787785.73,CHN,15787785.73
2016,467882.533,IRN,467882.533
2016,571489.078,NLD,571489.078
2016,586642.03,THA,586642.03
2016,598682.311,ESP,598682.311
2016,14386114.6,CHN,14386114.6
2017,469123.723,IRN,469123.723
2017,592434.294,NLD,592434.294
2017,622763.101,THA,622763.101
2017,757680.547,ESP,757680.547
2017,20310207.68,CHN,20310207.68
2018,511283.027,IRN,511283.027
2018,521302.862,TUR,521302.862
2018,531186.859,NLD,531186.859
2018,739563.82,ESP,739563.82
2018,27233070.72,CHN,27233070.72
2019,544789.51,IRN,544789.51
2019,602178.142,THA,602178.142
2019,604781.141,NLD,604781.141
2019,756712.458,ESP,756712.458
2019,20452339.45,CHN,20452339.45
2020,720763.111,TUR,720763.111
2020,911435.097,THA,911435.097
2020,956739.886,ESP,956739.886
2020,1109035.434,NLD,1109035.434
2020,20903176.75,CHN,20903176.75
2021,1014906.698,TUR,1014906.698
2021,1198838.475,NLD,1198838.475
2021,1289044.154,THA,1289044.154
2021,1665074.447,ESP,1665074.447
2021,27208101.3,CHN,27208101.3
