"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H1","All"," Total","All countries  All --- All  ","WLD"," World",1996,"Export",6,4154123855.693
"H1","All"," Total","All countries  All --- All  ","WLD"," World",1997,"Export",6,4711246033.604
"H1","All"," Total","All countries  All --- All  ","WLD"," World",1998,"Export",6,4768369131.682
"H1","All"," Total","All countries  All --- All  ","WLD"," World",1999,"Export",6,5048204381.535
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2000,"Export",6,5948860336.505
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2001,"Export",6,5751276360.458
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2002,"Export",6,6085839792.231
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2003,"Export",6,7114384779.679
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2004,"Export",6,8589993240.457
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2005,"Export",6,9695381857.076
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2006,"Export",6,11363169188.214
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2007,"Export",6,13151036561.518
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2008,"Export",6,15186085144.988
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2009,"Export",6,11830147257.394
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2010,"Export",6,14235988672.627
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2011,"Export",6,17132078807.19
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2012,"Export",6,16975492283.676
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2013,"Export",6,17596411158.26
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2014,"Export",6,17460464618.509
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2015,"Export",6,15183008881.153
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2016,"Export",6,14718255220.825
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2017,"Export",6,16775188674.711
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2018,"Export",6,18373183564.645
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2019,"Export",6,17879067767.501
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2020,"Export",6,16684304050.925
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2021,"Export",6,21103918770.262
"H1","All"," Total","All countries  All --- All  ","WLD"," World",2022,"Export",6,18814085865.011
